Date,Time,TotalFrames,Avg_Mbps,Avg_DataFPS,Avg_RenderFPS
2025-12-23,18:36:05,300,68.66,1.67,733.39
2025-12-23,18:40:54,300,58.90,1.43,696.72
2026-01-04,15:28:46,300,44.86,1.19,606.95
2026-01-04,17:04:36,300,56.91,1.43,620.54
2026-01-04,17:08:40,300,56.95,1.43,744.65
2026-01-04,17:12:21,300,79.49,2.00,527.63
2026-01-06,22:58:35,300,74.17,1.94,655.92
2026-01-06,23:01:51,300,76.15,2.00,673.20
2026-01-06,23:06:14,300,76.47,2.00,670.47
2026-01-10,11:49:07,300,52.38,2.00,588.55
2026-01-10,11:52:15,300,50.61,1.90,714.35
2026-01-10,11:55:13,300,52.98,2.00,731.54
2026-01-10,11:58:09,300,53.15,2.00,718.15
2026-01-10,12:03:20,300,41.85,1.59,714.70
2026-01-10,12:06:10,300,52.38,1.99,708.64
2026-01-10,12:09:10,300,52.08,2.00,695.68
2026-01-10,12:13:56,300,56.39,2.00,695.10
2026-01-10,12:16:55,300,50.38,2.00,737.84
2026-01-10,12:20:08,300,50.53,2.00,723.03
2026-01-10,12:23:10,300,49.04,1.99,717.03
2026-01-10,12:27:49,300,48.65,2.00,706.76
2026-01-10,12:30:59,300,48.69,2.00,734.40
2026-01-10,12:34:12,300,48.93,2.00,717.33
2026-01-10,12:37:20,300,49.02,1.99,720.11
2026-01-10,12:40:29,300,48.98,1.99,709.84
2026-01-10,12:43:32,300,48.94,2.00,730.72
2026-01-10,12:46:36,300,51.18,2.00,725.12
2026-01-10,12:49:46,300,51.00,2.00,720.57
2026-01-10,12:53:58,300,50.74,2.00,729.41
2026-01-10,12:57:10,300,51.10,2.00,712.34
2026-01-10,13:00:02,300,52.42,2.00,724.95
2026-01-10,13:03:18,300,51.99,1.99,716.45
2026-01-10,13:06:53,300,53.03,2.00,726.26
2026-01-10,13:09:48,300,53.18,2.00,708.34
2026-01-10,13:13:11,300,56.40,2.00,720.87
2026-01-10,13:16:17,300,56.39,2.00,719.07
2026-01-10,13:19:41,300,52.38,2.00,705.91
2026-01-10,13:26:15,300,55.48,2.00,670.87
2026-01-10,13:37:12,300,52.38,2.00,675.06
2026-01-10,13:40:18,300,50.35,2.00,682.24
2026-01-10,13:44:20,300,50.53,2.00,679.60
2026-01-10,13:47:53,300,49.08,2.00,676.85
2026-01-10,13:50:54,300,48.61,2.00,658.42
2026-01-10,13:54:04,300,48.71,2.00,695.96
2026-01-10,14:00:04,300,49.20,2.00,693.05
2026-01-10,14:03:15,300,49.43,2.00,675.65
2026-01-10,14:06:55,300,49.65,2.00,672.16
2026-01-10,14:09:45,300,46.07,1.99,668.94
2026-01-10,14:12:41,300,45.59,2.00,687.15
2026-01-10,14:15:34,300,45.58,2.00,679.92
2026-01-10,14:18:25,300,45.68,1.99,690.44
2026-01-15,19:03:06,300,35.67,1.36,575.27
2026-01-15,19:06:17,300,52.40,2.00,675.09
2026-01-15,19:10:48,300,44.90,1.72,234.70
2026-01-15,19:13:34,300,52.10,2.00,677.62
2026-01-15,19:16:44,300,51.30,1.93,708.65
2026-01-15,19:19:34,300,53.03,2.00,692.95
2026-01-15,19:22:31,300,53.15,2.00,664.66
2026-01-15,19:25:33,300,56.40,2.00,611.27
2026-01-15,19:28:34,300,56.38,2.00,655.84
2026-01-15,19:31:57,300,52.23,1.99,230.78
2026-01-15,19:34:44,300,52.38,2.00,672.00
2026-01-15,19:37:50,300,50.37,2.00,674.03
2026-01-15,19:40:50,300,50.53,2.00,685.02
2026-01-15,19:43:47,300,48.93,2.00,669.69
2026-01-15,19:46:40,300,48.70,2.00,686.68
2026-01-15,19:49:36,300,48.63,2.00,672.38
2026-01-15,19:52:35,300,48.93,1.99,668.01
2026-01-15,19:55:30,300,49.06,2.00,669.53
2026-01-15,19:58:49,300,48.65,2.00,664.46
2026-01-15,20:02:49,300,45.96,2.00,682.49
2026-01-15,20:05:45,300,46.41,1.99,670.37
2026-01-15,20:08:40,300,46.33,2.00,676.49
2026-01-15,20:12:42,300,46.33,2.00,644.55
2026-01-15,20:15:38,300,46.06,2.00,680.49
2026-01-15,20:18:31,300,45.96,2.00,677.15
2026-01-15,20:21:33,300,46.49,2.00,678.08
2026-01-15,20:31:10,300,40.71,2.00,685.63
2026-01-15,20:34:04,300,34.39,2.00,699.13
2026-01-15,20:37:23,300,33.45,2.00,680.88
2026-01-15,20:40:38,300,32.60,2.00,701.94
2026-01-15,20:43:29,300,33.91,2.00,696.64
2026-01-15,20:46:21,300,40.31,2.00,695.71
2026-01-15,20:49:40,300,52.37,2.00,671.82
2026-01-15,20:55:16,300,40.71,2.00,682.32
2026-01-15,20:58:28,300,40.31,2.00,697.64
2026-01-15,21:01:29,300,34.39,2.00,687.50
2026-01-15,21:04:21,300,33.91,2.00,701.58
2026-01-15,21:07:17,300,33.47,2.00,685.46
2026-01-15,21:10:08,300,32.58,2.00,704.19
2026-01-19,20:41:32,300,27.08,1.66,619.00
2026-01-19,20:53:53,300,32.56,1.99,606.26
2026-01-19,20:58:53,300,33.86,1.99,595.51
2026-01-22,19:12:00,300,25.18,1.54,564.65
2026-01-22,19:16:15,300,20.49,1.26,623.83
2026-01-22,19:26:01,300,20.49,1.26,660.84
2026-01-22,19:35:04,300,32.56,1.99,627.91
2026-01-22,19:38:29,300,27.77,1.66,597.81
2026-01-22,19:44:28,300,25.61,1.26,583.04
2026-01-22,21:18:45,300,19.34,0.95,611.31
2026-01-22,21:28:01,300,35.42,1.74,594.58
2026-01-22,21:30:13,300,55.87,2.74,558.75
2026-01-22,21:41:18,300,61.02,2.99,551.59
2026-01-22,21:44:21,300,25.47,1.83,604.54
2026-01-22,21:49:25,300,26.96,1.94,602.27
2026-01-22,21:58:22,300,29.87,1.78,583.16
2026-01-22,22:01:26,300,30.73,1.83,584.19
2026-01-22,22:06:24,300,87.80,5.38,530.71
2026-01-22,22:12:13,300,28.37,1.74,607.24
2026-01-22,22:19:26,300,27.64,1.69,607.16
2026-01-26,18:15:20,300,29.93,1.83,608.54
2026-01-26,18:17:37,300,46.98,2.88,640.72
2026-01-26,18:25:23,300,26.29,1.61,612.93
2026-01-26,18:28:29,300,29.90,1.78,596.16
2026-01-26,18:31:58,300,33.52,2.00,611.21
2026-01-26,19:22:51,300,32.82,1.96,597.49
2026-01-26,19:26:09,300,32.66,2.00,632.73
2026-01-26,19:29:43,300,33.52,2.00,608.26
2026-01-26,19:33:16,300,33.55,1.95,608.45
2026-01-26,19:36:54,300,34.45,2.00,609.65
2026-01-26,19:40:16,300,33.52,2.00,599.62
2026-01-26,19:45:19,300,31.63,1.94,611.21
